implementationVersion,revisionDate,pageObjectName,locatorId,text
2.6.2,2017-05-29 15:24 +0000,WelcomeDialogImpl,caption,Welcome
2.6.2,2017-05-29 15:24 +0000,WelcomeDialogImpl,startButton,Start
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,progressBarText,98% completato
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,chatLink,Chatta Ora
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,docHeader,Documenti
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,docDescription,"Verifica dell’identità - Questo processo di verifica mira a confermare la tua identità ed è una parte importante delle nostre misure di sicurezza, volte a proteggere te e i tuoi investimenti."
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,smsWrapper,Carica con il tuo smartphone
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,smsWrapperDescription,"Puoi caricare i documenti utilizzando il tuo smartphone.
Conferma il tuo numero di cellulare
Invieremo un SMS sul tuo cellulare. Clicca sul link riportato e procedi al caricamento dei tuoi documenti."
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,poiHeader,Prova d’identità
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,porHeader,Prova di residenza
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,wizardProgressText,15% completato
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,chatNow,Chatta Ora
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,additionalDetailsTitle,Dati personali
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,birthDateTitle,Data di nascita
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,birthDateDayDropdownCaption,giorno
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,birthDateMonthDropdownCaption,mese
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,birthDateYearDropdownCaption,anno
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,countryOfBirthTitle,Paese di nascita
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,countryOfBirthDropdownCaption,Scegli un Paese
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,nationalityTitle,Cittadinanza
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,nationalityDropdownCaption,Scegli un Paese